"religion","income","freq"
"Mainline Prot","$20-30k",619
"Mainline Prot","$30-40k",655
"Mainline Prot","$40-50k",651
"Mainline Prot","$50-75k",1107
"Mainline Prot","$75-100k",939
"Mainline Prot","$100-150k",753
"Mainline Prot",">150k",634
"Mainline Prot","Don't know/refused",1328
"Mormon","<$10k",29
"Mormon","$10-20k",40
"Mormon","$20-30k",48
"Mormon","$30-40k",51
"Mormon","$40-50k",56
"Mormon","$50-75k",112
"Mormon","$75-100k",85
"Mormon","$100-150k",49
"Mormon",">150k",42
"Mormon","Don't know/refused",69
"Muslim","<$10k",6
"Muslim","$10-20k",7
"Muslim","$20-30k",9
"Muslim","$30-40k",10
"Muslim","$40-50k",9
"Muslim","$50-75k",23
"Muslim","$75-100k",16
"Muslim","$100-150k",8
"Muslim",">150k",6
"Muslim","Don't know/refused",22
"Orthodox","<$10k",13
"Orthodox","$10-20k",17
"Orthodox","$20-30k",23
"Orthodox","$30-40k",32
"Orthodox","$40-50k",32
"Orthodox","$50-75k",47
"Orthodox","$75-100k",38
"Orthodox","$100-150k",42
"Orthodox",">150k",46
"Orthodox","Don't know/refused",73
"Other Christian","<$10k",9
"Other Christian","$10-20k",7
"Other Christian","$20-30k",11
"Other Christian","$30-40k",13
"Other Christian","$40-50k",13
"Other Christian","$50-75k",14
"Other Christian","$75-100k",18
"Other Christian","$100-150k",14
"Other Christian",">150k",12
"Other Christian","Don't know/refused",18
"Other Faiths","<$10k",20
"Other Faiths","$10-20k",33
"Other Faiths","$20-30k",40
"Other Faiths","$30-40k",46
"Other Faiths","$40-50k",49
"Other Faiths","$50-75k",63
"Other Faiths","$75-100k",46
"Other Faiths","$100-150k",40
"Other Faiths",">150k",41
"Other Faiths","Don't know/refused",71
"Other World Religions","<$10k",5
"Other World Religions","$10-20k",2
"Other World Religions","$20-30k",3
"Other World Religions","$30-40k",4
"Other World Religions","$40-50k",2
"Other World Religions","$50-75k",7
"Other World Religions","$75-100k",3
"Other World Religions","$100-150k",4
"Other World Religions",">150k",4
"Other World Religions","Don't know/refused",8
"Unaffiliated","<$10k",217
"Unaffiliated","$10-20k",299
"Unaffiliated","$20-30k",374
"Unaffiliated","$30-40k",365
"Unaffiliated","$40-50k",341
"Unaffiliated","$50-75k",528
"Unaffiliated","$75-100k",407
"Unaffiliated","$100-150k",321
"Unaffiliated",">150k",258
"Unaffiliated","Don't know/refused",597
