"time_stamp","dept","position","how_hear","area"
2019-07-25 08:48:29,"BBH","Grad","Fellow Graduate Student",NA
2019-07-25 09:48:13,"Psych","Grad","Grad student emails",NA
2019-07-25 10:34:07,"Psych","Grad",NA,NA
2019-07-26 14:29:30,"Psych","Grad","Dr. Scherf",NA
2019-07-26 19:22:33,"HDFS","Grad","Department",NA
2019-07-26 19:22:41,"HDFS","Grad","Departmental email","Developmental"
2019-07-29 01:46:04,"IST","Post","Advisor",NA
2019-07-29 10:04:33,"Psych","Grad","email",NA
2019-07-29 17:11:28,"Psych","Grad","Email","Social"
2019-07-30 11:42:09,"Ecology","Grad","Another grad student",NA
2019-07-30 13:36:53,"IST","Undergrad","CCMH",NA
2019-07-30 16:28:32,"HDFS","Grad",NA,NA
2019-07-30 18:45:14,"HHD","Post","Email",NA
2019-07-30 22:28:10,"Psych","Grad","Will be Michael’s grad student (:",NA
2019-07-31 06:12:44,"Psych","Grad","email",NA
2019-07-31 16:27:31,"Psych","Grad","email/attended previously",NA
2019-07-31 17:04:15,"Psych","Grad","Email","I/O"
2019-07-31 18:27:50,"HDFS","Post","HDFS Postdoc Mailing list",NA
2019-08-01 11:23:11,"Psych","Grad","Email","Social"
2019-08-01 12:34:39,"Psych","Grad","Initially found it online while I was applying to PSU; learned about this year's from Dr. Hallquist's email forwarded from Sherri G.","I/O"
2019-08-02 11:48:26,"Prev Ctr","Post",NA,NA
2019-08-05 13:12:49,"Psych","Grad","Email",NA
2019-08-06 10:31:35,"Psych","Grad","department email",NA
2019-08-06 10:44:39,"HDFS","Grad","In HDFS",NA
2019-08-06 10:50:23,"HDFS","Grad","email circulation",NA
2019-08-07 07:54:29,"HDFS","Post","email",NA
2019-08-07 09:19:42,"HDFS","Grad","HDFS grad student email listserv",NA
2019-08-07 12:00:27,"Psych","Post","Jenae Neiderhiser",NA
2019-08-07 16:50:25,"Psych","Staff","my PI",NA
2019-08-09 07:19:24,"Psych","Grad","Advisor",NA
2019-08-09 09:29:58,"Psych","Staff","Michele Diaz- Center for Language Science",NA
2019-08-09 09:45:46,"Psych","Staff","Email from Michele Diaz",NA
2019-08-11 02:03:27,"HDFS","Grad","email",NA
2019-08-12 10:57:49,"Psych","Grad","Email","Clinical"
2019-08-13 10:05:35,"HDFS","Grad","Department","Developmental"
2019-08-13 14:36:56,"CSD","Grad","Jonathan Park",NA
2019-08-13 15:50:57,"CSD","Grad","MY FRIEND",NA
2019-08-13 21:51:32,"HDFS","Grad","Via an email blast from my department. I am completely new to R, and because of new grad student orientations, I will have to miss the first day, but I am so eager to learn. I hope that is alright!",NA
2019-08-13 23:06:09,"BBH","Grad","A fellow graduate student",NA
2019-08-14 14:05:26,"CSD","Grad","From another student",NA
2019-08-14 14:12:35,"CSD","Grad",NA,NA
