id	text	page	type	choices	choiceNames	reverse	placeholder	min	max	disabled	checkType	width	height	inline	randomize	depends	show_if
NA	"If you attended the Fast-R track, please answer the following questions."	4	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	3
NA	"If you did not attend the Fast-R track, please skip to the next page."	4	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	3
NA	"<p><a href=""https://psu-psychology.github.io/r-bootcamp-2019/schedule.html#wed,_aug_21,_2019"" target=""_blank"">Remind yourself about the schedule here!</a></p>"	4	HTML	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	tracks	3
fastr11_mlm	"How would you rate the introduction to multilevel models, moderation, and probing interactions? (1 - not informative, 7 = very informative)"	4	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	3
fastr11_diff	"Overall, how difficult was the material in the above session?"	4	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0	tracks	3
NA	Fast-R Survey (Day 2)	5	h2	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	4
NA	"If you attended the Fast-R track, please answer the following questions."	5	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	4
NA	"If you did not attend the Fast-R track, please skip to the next page."	5	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	4
NA	"<p><a href=""https://psu-psychology.github.io/r-bootcamp-2019/schedule.html#thu,_aug_22,_2019"" target=""_blank"">Remind yourself about the schedule here!</a></p>"	5	HTML	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	tracks	4
fastr21_laavan	"How would you rate the introduction to structural equation modeling in `lavaan`? (1 - not informative, 7 = very informative)"	5	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	4
fastr21_diff	"Overall, how difficult was the material in the above session?"	5	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0	tracks	4
fastr22_dynr	"How would you rate the session on dynamical systems analysis using `dynr`? (1 - not informative, 7 = very informative)"	5	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	4
fastr22_diff	"Overall, how difficult was the material in the above session?"	5	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0	tracks	4
NA	Survey (Day 3)	6	h2	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	5
NA	"If you attended day 3 of the Bootcamp, please answer the following questions."	6	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	5
NA	"If you did not attend day 3 of the Bootcamp, please skip to the next page."	6	p	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	5
NA	"<p><a href=""https://psu-psychology.github.io/r-bootcamp-2019/schedule.html#fri,_aug_23,_2019"" target=""_blank"">Remind yourself about the schedule here!</a></p>"	6	HTML	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	tracks	5
day31_wrangle	"How would you rate the session on data wrangling? (1 - not informative, 7 = very informative)"	6	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	5
day31_diff	"Overall, how difficult was the material in the above session?"	6	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0	tracks	5
day32_ggplot	"How would you rate the session on data visualization using `ggplot`? (1 - not informative, 7 = very informative)"	6	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	5
day32_diff	"Overall, how difficult was the material in the above session?"	6	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0	tracks	5
day33_rr	"How would you rate the session on  R-eproducible Sceince? (1 - not informative, 7 = very informative)"	6	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	5
day33_diff	"Overall, how difficult was the material in the above session?"	6	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0	tracks	5
day34_data	"How would you rate the session on  basic data analyses? (1 - not informative, 7 = very informative)"	6	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	5
day34_diff	"Overall, how difficult was the material in the above session?"	6	selectInput	"1,2,3,4"	"Too easy/familiar, Just right (good pace and level of difficulty), A bit fast (wished things were slower or explained more), Too difficult (not useful because it was too fast and/or there was too much material)"	NA	NA	NA	NA	0	NA	500px	NA	0	0	tracks	5
NA	Survey General Information	7	h2	NA	NA	NA	NA	NA	NA	0	NA	500px	NA	NA	0	tracks	5
NA	"<p><a href=""https://psu-psychology.github.io/r-bootcamp-2019/schedule.html"" target=""_blank"">Remind yourself about the schedule here!</a></p>"	7	HTML	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	tracks	5
gen1_handson	"Overall, how helpful were the ""hands on"" practice portions of the bootcamp? (1 - not informative, 7 = very informative)"	7	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	NA
gen2_iprac	"Overall, how helpful were the ""iPRACTISE portions of the bootcamp? (1 - not informative, 7 = very informative)"	7	sliderInput	4	NA	NA	NA	1	7	0	NA	500px	NA	NA	0	tracks	NA
